date,county,state,fips,cases,deaths
2020-01-21,Snohomish,Washington,53061,1,0
2020-01-22,Snohomish,Washington,53061,1,0
2020-01-23,Snohomish,Washington,53061,1,0
2020-01-24,Snohomish,Washington,53061,1,0
2020-01-25,Snohomish,Washington,53061,1,0
2020-01-26,Los Angeles,California,06037,1,0
2020-01-26,Snohomish,Washington,53061,1,0
2020-01-27,Los Angeles,California,06037,1,0
2020-01-27,Snohomish,Washington,53061,1,0
2020-01-28,Los Angeles,California,06037,1,0
2020-01-28,Snohomish,Washington,53061,1,0
2020-01-29,Los Angeles,California,06037,1,0
2020-01-29,Snohomish,Washington,53061,1,0
2020-01-30,Los Angeles,California,06037,1,0
2020-01-30,Snohomish,Washington,53061,1,0
2020-01-31,Los Angeles,California,06037,1,0
2020-01-31,Snohomish,Washington,53061,1,0
2020-02-01,Los Angeles,California,06037,1,0
2020-02-01,Snohomish,Washington,53061,1,0
2020-02-02,Los Angeles,California,06037,1,0
2020-02-02,Snohomish,Washington,53061,1,0
2020-02-03,Los Angeles,California,06037,1,0
2020-02-03,Snohomish,Washington,53061,1,0
2020-02-04,Los Angeles,California,06037,1,0
2020-02-04,Snohomish,Washington,53061,1,0
2020-02-05,Los Angeles,California,06037,1,0
2020-02-05,Snohomish,Washington,53061,1,0
2020-02-06,Los Angeles,California,06037,1,0
2020-02-06,Snohomish,Washington,53061,1,0
2020-02-07,Los Angeles,California,06037,1,0
2020-02-07,Snohomish,Washington,53061,1,0
2020-02-08,Los Angeles,California,06037,1,0
2020-02-08,Snohomish,Washington,53061,1,0
2020-02-09,Los Angeles,California,06037,1,0
2020-02-09,Snohomish,Washington,53061,1,0
2020-02-10,Los Angeles,California,06037,1,0
2020-02-10,Snohomish,Washington,53061,1,0
2020-02-11,Los Angeles,California,06037,1,0
2020-02-11,Snohomish,Washington,53061,1,0
2020-02-12,Los Angeles,California,06037,1,0
2020-02-12,Snohomish,Washington,53061,1,0
2020-02-13,Los Angeles,California,06037,1,0
2020-02-13,Snohomish,Washington,53061,1,0
2020-02-14,Los Angeles,California,06037,1,0
2020-02-14,Snohomish,Washington,53061,1,0
2020-02-15,Los Angeles,California,06037,1,0
2020-02-15,Snohomish,Washington,53061,1,0
2020-02-16,Los Angeles,California,06037,1,0
2020-02-16,Snohomish,Washington,53061,1,0
2020-02-17,Los Angeles,California,06037,1,0
2020-02-17,Snohomish,Washington,53061,1,0
2020-02-18,Los Angeles,California,06037,1,0
2020-02-18,Snohomish,Washington,53061,1,0
2020-02-19,Los Angeles,California,06037,1,0
2020-02-19,Snohomish,Washington,53061,1,0
2020-02-20,Los Angeles,California,06037,1,0
2020-02-20,Snohomish,Washington,53061,1,0
2020-02-21,Los Angeles,California,06037,1,0
2020-02-21,Snohomish,Washington,53061,1,0
2020-02-22,Los Angeles,California,06037,1,0
2020-02-22,Snohomish,Washington,53061,1,0
2020-02-23,Los Angeles,California,06037,1,0
2020-02-23,Snohomish,Washington,53061,1,0
2020-02-24,Los Angeles,California,06037,1,0
2020-02-24,Snohomish,Washington,53061,1,0
2020-02-25,Los Angeles,California,06037,1,0
2020-02-25,Snohomish,Washington,53061,1,0
2020-02-26,Los Angeles,California,06037,1,0
2020-02-26,Snohomish,Washington,53061,1,0
2020-02-27,Los Angeles,California,06037,1,0
2020-02-27,Snohomish,Washington,53061,1,0
2020-02-28,Los Angeles,California,06037,1,0
2020-02-28,Snohomish,Washington,53061,2,0
2020-02-29,Los Angeles,California,06037,1,0
2020-02-29,Snohomish,Washington,53061,2,0
2020-03-01,Los Angeles,California,06037,1,0
2020-03-01,Snohomish,Washington,53061,2,0
2020-03-02,Los Angeles,California,06037,1,0
2020-03-02,Snohomish,Washington,53061,3,0
2020-03-03,Los Angeles,California,06037,1,0
2020-03-03,Snohomish,Washington,53061,5,0
2020-03-04,Los Angeles,California,06037,7,0
2020-03-04,Snohomish,Washington,53061,8,0
2020-03-05,Los Angeles,California,06037,11,0
2020-03-05,Harris,Texas,48201,4,0
2020-03-05,Snohomish,Washington,53061,17,0
2020-03-06,Los Angeles,California,06037,13,0
2020-03-06,Harris,Texas,48201,5,0
2020-03-06,Snohomish,Washington,53061,18,0
2020-03-07,Los Angeles,California,06037,14,0
2020-03-07,Harris,Texas,48201,5,0
2020-03-07,Snohomish,Washington,53061,26,0
2020-03-08,Los Angeles,California,06037,14,0
2020-03-08,Harris,Texas,48201,6,0
2020-03-08,Snohomish,Washington,53061,36,0
2020-03-09,Los Angeles,California,06037,19,0
2020-03-09,Harris,Texas,48201,6,0
2020-03-09,Snohomish,Washington,53061,45,0
2020-03-10,Los Angeles,California,06037,20,0
2020-03-10,Harris,Texas,48201,7,0
2020-03-10,Snohomish,Washington,53061,61,0
2020-03-11,Los Angeles,California,06037,28,1
2020-03-11,Harris,Texas,48201,7,0
2020-03-11,Snohomish,Washington,53061,69,1
2020-03-12,Los Angeles,California,06037,32,1
2020-03-12,Harris,Texas,48201,9,0
2020-03-12,Snohomish,Washington,53061,107,3
2020-03-13,Los Angeles,California,06037,40,1
2020-03-13,Harris,Texas,48201,10,0
2020-03-13,Snohomish,Washington,53061,132,3
2020-03-14,Los Angeles,California,06037,53,1
2020-03-14,Harris,Texas,48201,11,0
2020-03-14,Snohomish,Washington,53061,154,3
2020-03-15,Los Angeles,California,06037,69,1
2020-03-15,Harris,Texas,48201,13,0
2020-03-15,Snohomish,Washington,53061,175,3
2020-03-16,Los Angeles,California,06037,94,1
2020-03-16,Harris,Texas,48201,13,0
2020-03-16,Snohomish,Washington,53061,199,3
2020-03-17,Los Angeles,California,06037,144,1
2020-03-17,Harris,Texas,48201,16,0
2020-03-17,Snohomish,Washington,53061,265,4
2020-03-18,Los Angeles,California,06037,190,1
2020-03-18,Harris,Texas,48201,28,0
2020-03-18,Snohomish,Washington,53061,309,5
2020-03-19,Los Angeles,California,06037,231,2
2020-03-19,Harris,Texas,48201,35,1
2020-03-19,Snohomish,Washington,53061,347,6
2020-03-20,Los Angeles,California,06037,292,2
2020-03-20,Harris,Texas,48201,55,1
2020-03-20,Snohomish,Washington,53061,384,7
2020-03-21,Los Angeles,California,06037,351,4
2020-03-21,Harris,Texas,48201,68,1
2020-03-21,Snohomish,Washington,53061,446,9
2020-03-22,Los Angeles,California,06037,421,5
2020-03-22,Harris,Texas,48201,74,1
2020-03-22,Snohomish,Washington,53061,480,10
2020-03-23,Los Angeles,California,06037,536,7
2020-03-23,Harris,Texas,48201,78,1
2020-03-23,Snohomish,Washington,53061,518,10
2020-03-24,Los Angeles,California,06037,662,11
2020-03-24,Harris,Texas,48201,134,1
2020-03-24,Snohomish,Washington,53061,613,15
2020-03-25,Los Angeles,California,06037,799,13
2020-03-25,Harris,Texas,48201,185,1
2020-03-25,Snohomish,Washington,53061,633,15
2020-03-26,Los Angeles,California,06037,1216,21
2020-03-26,Harris,Texas,48201,203,2
2020-03-26,Snohomish,Washington,53061,778,18
2020-03-27,Los Angeles,California,06037,1465,27
2020-03-27,Harris,Texas,48201,229,2
2020-03-27,Snohomish,Washington,53061,913,23
2020-03-28,Los Angeles,California,06037,1804,33
2020-03-28,Harris,Texas,48201,445,3
2020-03-28,Snohomish,Washington,53061,912,23
2020-03-29,Los Angeles,California,06037,2136,37
2020-03-29,Harris,Texas,48201,526,4
2020-03-29,Snohomish,Washington,53061,1067,23
2020-03-30,Los Angeles,California,06037,2474,44
2020-03-30,Harris,Texas,48201,563,7
2020-03-30,Snohomish,Washington,53061,1126,30
2020-03-31,Los Angeles,California,06037,3011,54
2020-03-31,Harris,Texas,48201,680,6
2020-03-31,Snohomish,Washington,53061,1228,32
2020-04-01,Los Angeles,California,06037,3518,65
2020-04-01,Harris,Texas,48201,847,6
2020-04-01,Snohomish,Washington,53061,1304,39
2020-04-02,Los Angeles,California,06037,4045,78
2020-04-02,Harris,Texas,48201,895,10
2020-04-02,Snohomish,Washington,53061,1375,39
2020-04-03,Los Angeles,California,06037,4566,89
2020-04-03,Harris,Texas,48201,1036,12
2020-04-03,Snohomish,Washington,53061,1449,41
2020-04-04,Los Angeles,California,06037,5277,117
2020-04-04,Harris,Texas,48201,1284,17
2020-04-04,Snohomish,Washington,53061,1502,44
2020-04-05,Los Angeles,California,06037,5940,132
2020-04-05,Harris,Texas,48201,1395,20
2020-04-05,Snohomish,Washington,53061,1558,48
2020-04-06,Los Angeles,California,06037,6360,147
2020-04-06,Harris,Texas,48201,1809,22
2020-04-06,Snohomish,Washington,53061,1602,57
2020-04-07,Los Angeles,California,06037,6910,169
2020-04-07,Harris,Texas,48201,2146,23
2020-04-07,Snohomish,Washington,53061,1658,60
2020-04-08,Los Angeles,California,06037,7530,198
2020-04-08,Harris,Texas,48201,2341,31
2020-04-08,Snohomish,Washington,53061,1694,61
2020-04-09,Los Angeles,California,06037,7955,223
2020-04-09,Harris,Texas,48201,3047,34
2020-04-09,Snohomish,Washington,53061,1701,63
2020-04-10,Los Angeles,California,06037,8430,241
2020-04-10,Harris,Texas,48201,3261,40
2020-04-10,Snohomish,Washington,53061,1801,66
2020-04-11,Los Angeles,California,06037,8873,265
2020-04-11,Harris,Texas,48201,3561,41
2020-04-11,Snohomish,Washington,53061,1834,67
2020-04-12,Los Angeles,California,06037,9192,296
2020-04-12,Harris,Texas,48201,3629,44
2020-04-12,Snohomish,Washington,53061,1866,69
2020-04-13,Los Angeles,California,06037,9420,320
2020-04-13,Harris,Texas,48201,3747,46
2020-04-13,Snohomish,Washington,53061,1907,73
2020-04-14,Los Angeles,California,06037,10047,360
2020-04-14,Harris,Texas,48201,3907,52
2020-04-14,Snohomish,Washington,53061,1949,77
2020-04-15,Los Angeles,California,06037,10496,402
2020-04-15,Harris,Texas,48201,4097,58
2020-04-15,Snohomish,Washington,53061,1987,80
2020-04-16,Los Angeles,California,06037,10854,455
2020-04-16,Harris,Texas,48201,4306,63
2020-04-16,Snohomish,Washington,53061,2031,85
2020-04-17,Los Angeles,California,06037,11391,495
2020-04-17,Harris,Texas,48201,4460,67
2020-04-17,Snohomish,Washington,53061,2055,87
2020-04-18,Los Angeles,California,06037,12021,576
2020-04-18,Harris,Texas,48201,4653,71
2020-04-18,Snohomish,Washington,53061,2092,92
2020-04-19,Los Angeles,California,06037,12341,600
2020-04-19,Harris,Texas,48201,4823,75
2020-04-19,Snohomish,Washington,53061,2142,92
2020-04-20,Los Angeles,California,06037,13816,617
2020-04-20,Harris,Texas,48201,4977,78
2020-04-20,Snohomish,Washington,53061,2162,96
2020-04-21,Los Angeles,California,06037,15140,663
2020-04-21,Harris,Texas,48201,5143,79
2020-04-21,Snohomish,Washington,53061,2162,98
2020-04-22,Los Angeles,California,06037,16435,729
2020-04-22,Harris,Texas,48201,5211,80
2020-04-22,Snohomish,Washington,53061,2208,98
2020-04-23,Los Angeles,California,06037,17508,797
2020-04-23,Harris,Texas,48201,5330,82
2020-04-23,Snohomish,Washington,53061,2239,99
2020-04-24,Los Angeles,California,06037,18545,850
2020-04-24,Harris,Texas,48201,5482,84
2020-04-24,Snohomish,Washington,53061,2267,102
2020-04-25,Los Angeles,California,06037,19107,895
2020-04-25,Harris,Texas,48201,5628,89
2020-04-25,Snohomish,Washington,53061,2297,103
2020-04-26,Los Angeles,California,06037,19528,913
2020-04-26,Harris,Texas,48201,5729,93
2020-04-26,Snohomish,Washington,53061,2311,104
2020-04-27,Los Angeles,California,06037,20417,942
2020-04-27,Harris,Texas,48201,5827,98
2020-04-27,Snohomish,Washington,53061,2355,106
2020-04-28,Los Angeles,California,06037,20976,1000
2020-04-28,Harris,Texas,48201,5986,103
2020-04-28,Snohomish,Washington,53061,2370,106
2020-04-29,Los Angeles,California,06037,22485,1056
2020-04-29,Harris,Texas,48201,6161,109
2020-04-29,Snohomish,Washington,53061,2416,106
2020-04-30,Los Angeles,California,06037,23182,1111
2020-04-30,Harris,Texas,48201,6356,114
2020-04-30,Snohomish,Washington,53061,2446,108
2020-05-01,Los Angeles,California,06037,24215,1172
2020-05-01,Harris,Texas,48201,6551,122
2020-05-01,Snohomish,Washington,53061,2466,108
